period,subba,subba-name,parent,parent-name,value,value-units
2024-04-01T23,ZONJ,New York City,NYIS,New York Independent System Operator,5525,megawatthours
2024-04-01T22,ZONJ,New York City,NYIS,New York Independent System Operator,5633,megawatthours
2024-04-01T21,ZONJ,New York City,NYIS,New York Independent System Operator,5603,megawatthours
2024-04-01T20,ZONJ,New York City,NYIS,New York Independent System Operator,5616,megawatthours
2024-04-01T19,ZONJ,New York City,NYIS,New York Independent System Operator,5669,megawatthours
2024-04-01T18,ZONJ,New York City,NYIS,New York Independent System Operator,5636,megawatthours
2024-04-01T17,ZONJ,New York City,NYIS,New York Independent System Operator,5639,megawatthours
2024-04-01T16,ZONJ,New York City,NYIS,New York Independent System Operator,5629,megawatthours
2024-04-01T15,ZONJ,New York City,NYIS,New York Independent System Operator,5570,megawatthours
2024-04-01T14,ZONJ,New York City,NYIS,New York Independent System Operator,5478,megawatthours
2024-04-01T13,ZONJ,New York City,NYIS,New York Independent System Operator,5283,megawatthours
2024-04-01T12,ZONJ,New York City,NYIS,New York Independent System Operator,4948,megawatthours
2024-04-01T11,ZONJ,New York City,NYIS,New York Independent System Operator,4547,megawatthours
2024-04-01T10,ZONJ,New York City,NYIS,New York Independent System Operator,4165,megawatthours
2024-04-01T09,ZONJ,New York City,NYIS,New York Independent System Operator,3972,megawatthours
2024-04-01T08,ZONJ,New York City,NYIS,New York Independent System Operator,3937,megawatthours
2024-04-01T07,ZONJ,New York City,NYIS,New York Independent System Operator,3990,megawatthours
2024-04-01T06,ZONJ,New York City,NYIS,New York Independent System Operator,4099,megawatthours
2024-04-01T05,ZONJ,New York City,NYIS,New York Independent System Operator,4257,megawatthours
2024-04-01T04,ZONJ,New York City,NYIS,New York Independent System Operator,4455,megawatthours
2024-04-01T03,ZONJ,New York City,NYIS,New York Independent System Operator,4679,megawatthours
2024-04-01T02,ZONJ,New York City,NYIS,New York Independent System Operator,4863,megawatthours
2024-04-01T01,ZONJ,New York City,NYIS,New York Independent System Operator,4946,megawatthours
2024-04-01T00,ZONJ,New York City,NYIS,New York Independent System Operator,4927,megawatthours
2024-03-31T23,ZONJ,New York City,NYIS,New York Independent System Operator,4804,megawatthours
2024-03-31T22,ZONJ,New York City,NYIS,New York Independent System Operator,4711,megawatthours
2024-03-31T21,ZONJ,New York City,NYIS,New York Independent System Operator,4633,megawatthours
2024-03-31T20,ZONJ,New York City,NYIS,New York Independent System Operator,4583,megawatthours
2024-03-31T19,ZONJ,New York City,NYIS,New York Independent System Operator,4555,megawatthours
2024-03-31T18,ZONJ,New York City,NYIS,New York Independent System Operator,4562,megawatthours
2024-03-31T17,ZONJ,New York City,NYIS,New York Independent System Operator,4585,megawatthours
2024-03-31T16,ZONJ,New York City,NYIS,New York Independent System Operator,4575,megawatthours
2024-03-31T15,ZONJ,New York City,NYIS,New York Independent System Operator,4522,megawatthours
2024-03-31T14,ZONJ,New York City,NYIS,New York Independent System Operator,4440,megawatthours
2024-03-31T13,ZONJ,New York City,NYIS,New York Independent System Operator,4347,megawatthours
2024-03-31T12,ZONJ,New York City,NYIS,New York Independent System Operator,4222,megawatthours
2024-03-31T11,ZONJ,New York City,NYIS,New York Independent System Operator,4120,megawatthours
2024-03-31T10,ZONJ,New York City,NYIS,New York Independent System Operator,4026,megawatthours
2024-03-31T09,ZONJ,New York City,NYIS,New York Independent System Operator,3981,megawatthours
